COURSE TITLE,R1 2019,R2 2019,2019 Interview,2019 R1 Random
Veterinary Nursing,441.0,487.0,0,0
Medicine - Undergraduate Entry (HPAT required),735.0,745.0,1,0
Medicine - Graduate Entry (GAMSAT required),59.0,61.0,1,1
Radiography,507.0,522.0,0,0
Radiography - Graduate Entry,,,1,0
Physiotherapy,542.0,555.0,0,0
Health and Performance Science,488.0,509.0,0,0
Sport and Exercise Management,436.0,455.0,0,0
"Biomedical, Health and Life Sciences",565.0,579.0,0,1
General Nursing,398.0,420.0,0,0
Children`s and General Nursing (Integrated),462.0,499.0,0,1
Midwifery,409.0,452.0,0,0
Mental Health Nursing,379.0,403.0,0,0
Arts (Two Subjects),336.0,408.0,0,0
Humanities (options),348.0,411.0,0,0
Modern Languages (options),348.0,412.0,0,0
Law (options),520.0,532.0,0,1
Business and Law,521.0,543.0,0,0
Commerce,498.0,510.0,0,1
Commerce International (options),507.0,531.0,0,0
Economics and Finance,601.0,601.0,0,0
Social Sciences (options),388.0,441.0,0,0
Economics,476.0,488.0,0,0
Psychology,517.0,531.0,0,0
Social Policy and Sociology,330.0,366.0,0,0
Accounting and Finance,306.0,391.0,0,0
Business Studies,300.0,357.0,0,0
Computing in Games Development,307.0,369.0,0,0
Computing in Software Development,301.0,347.0,0,0
Building Surveying,302.0,349.0,0,0
Architectural Technology,301.0,366.0,0,0
Construction Management,300.0,329.0,0,0
Engineering (Common Entry),303.0,402.0,0,0
Music,499.0,649.0,1,0
Arts,300.0,358.0,0,0
Social Care,300.0,338.0,0,0
Creative Media,300.0,376.0,0,0
Film and Television Production,300.0,332.0,0,0
Audio and Music Production,301.0,346.0,0,0
General Nursing,392.0,401.0,0,0
Intellectual Disability Nursing,300.0,317.0,0,0
Mental Health Nursing,356.0,378.0,0,0
Early Childhood Studies,305.0,359.0,0,0
Midwifery,398.0,441.0,0,1
Health and Physical Activity,300.0,367.0,0,0
Agriculture (Award options),303.0,358.0,0,0
Science (Award options),300.0,369.0,0,0
Accounting,303.0,378.0,0,0
Business,290.0,347.0,0,0
Business Information Systems,309.0,373.0,0,0
Marketing and Sales,307.0,348.0,0,0
Finance and Economics,307.0,398.0,0,0
Business with Entrepreneurship,297.0,328.0,0,0
Rural Enterprise and Agri-Business (Mountbellew Campus),280.0,367.0,0,0
Film and Documentary,287.0,360.0,0,0
Heritage Studies,238.0,308.0,0,0
Contemporary Art,260.0,340.0,0,0
Design,309.0,377.0,0,0
International Hotel Management,225.0,289.0,0,0
International Tourism Management,261.0,290.0,0,0
Culinary and Gastronomic Science,225.0,316.0,0,0
Event Management with Public Relations,209.0,289.0,0,0
Retail Management,219.0,319.0,0,0
Construction Management,260.0,312.0,0,0
Quantity Surveying and Construction Economics,280.0,340.0,0,0
Architectural Technology,251.0,321.0,0,0
Civil Engineering,270.0,362.0,0,0
