CATEGORY (i.e.ISCED description),COURSE TITLE,R1 2020,2020 R1 Random,R2 P2020,2020 R2 Random,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,2020 Interview,avp,v
Welfare,Community Development,100,0.0,0,0.0,100,0.0,251,7,Cork Institute of Technology,0.0,0,0
Personal services,Tourism Management,216,0.0,0,0.0,216,0.0,399,7,Cork Institute of Technology,0.0,0,0
Personal services,Hospitality Management,208,0.0,0,0.0,208,0.0,316,7,Cork Institute of Technology,0.0,0,0
Transport services,Automotive Technology and Management,216,0.0,0,0.0,216,0.0,337,7,Cork Institute of Technology,0.0,0,0
Architecture and construction,Civil Engineering,248,0.0,0,0.0,248,0.0,451,7,Cork Institute of Technology,0.0,0,0
Architecture and construction,Construction,251,0.0,0,0.0,251,0.0,367,7,Cork Institute of Technology,0.0,0,0
Arts,Interior Architecture,308,0.0,0,0.0,308,0.0,434,7,Cork Institute of Technology,0.0,0,0
Engineering and engineering trades,Environmental Engineering,258,0.0,0,0.0,258,0.0,409,7,Cork Institute of Technology,0.0,0,0
Engineering and engineering trades,Electronic Engineering,260,0.0,0,0.0,260,0.0,444,7,Cork Institute of Technology,0.0,0,0
Engineering and engineering trades,Electrical Engineering,300,0.0,0,0.0,300,0.0,401,7,Cork Institute of Technology,0.0,0,0
Engineering and engineering trades,Mechanical Engineering,261,0.0,0,0.0,261,0.0,444,7,Cork Institute of Technology,0.0,0,0
Health,Biomedical Engineering,306,0.0,0,0.0,306,0.0,498,7,Cork Institute of Technology,0.0,0,0
Architecture and construction,Architectural Technology,266,0.0,0,0.0,266,0.0,411,7,Cork Institute of Technology,0.0,0,0
Transport services,Nautical Science at National Maritime College of Ireland,243,0.0,0,0.0,243,0.0,380,7,Cork Institute of Technology,0.0,0,0
Engineering and engineering trades,Marine Engineering at National Maritime College of Ireland,255,0.0,0,0.0,255,0.0,389,7,Cork Institute of Technology,0.0,0,0
Engineering and engineering trades,Chemical and Biopharmaceutical Engineering,443,0.0,0,0.0,443,0.0,532,8,Cork Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Software Development,411,0.0,0,0.0,411,0.0,463,8,Cork Institute of Technology,0.0,0,0
Engineering and engineering trades,Mechanical Engineering,434,0.0,0,0.0,434,0.0,509,8,Cork Institute of Technology,0.0,0,0
Architecture and construction,Structural Engineering,394,0.0,0,0.0,394,0.0,423,8,Cork Institute of Technology,0.0,0,0
Transport services,Automotive Business Management and Technology,311,0.0,0,0.0,311,0.0,362,8,Cork Institute of Technology,0.0,0,0
Arts,Creative Digital Media,361,0.0,0,0.0,361,0.0,430,8,Cork Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),Computer Systems,332,0.0,0,0.0,332,0.0,393,8,Cork Institute of Technology,0.0,0,0
Arts,Music at CIT Cork School of Music,868,0.0,0,0.0,912,0.0,1078,8,Cork Institute of Technology,1.0,0,0
Arts,Popular Music: Electric Bass Guitar at CIT Cork School of Music,1088,0.0,0,0.0,1088,0.0,1088,8,Cork Institute of Technology,1.0,0,0
Arts,Popular Music: Drums at CIT Cork School of Music,801,0.0,0,0.0,801,0.0,940,8,Cork Institute of Technology,1.0,0,0
Arts,Popular Music: Electric Guitar at CIT Cork School of Music,838,0.0,768,0.0,768,0.0,978,8,Cork Institute of Technology,1.0,0,0
Arts,Popular Music: Keyboards at CIT Cork School of Music,840,0.0,0,0.0,840,0.0,881,8,Cork Institute of Technology,1.0,0,0
Arts,Popular Music: Voice at CIT Cork School of Music,841,0.0,0,0.0,841,0.0,966,8,Cork Institute of Technology,1.0,0,0
Arts,Musical Theatre at CIT Cork School of Music,548,0.0,518,0.0,505,0.0,600,8,Cork Institute of Technology,1.0,0,0
Business and administration,Business Information Systems,335,0.0,0,0.0,335,0.0,391,8,Cork Institute of Technology,0.0,0,0
Arts,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,Cork Institute of Technology,1.0,0,0
Arts,Fine Art at CIT Crawford College of Art and Design,+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,Cork Institute of Technology,1.0,0,0
Arts,Photography with New Media,+matric,0.0,0,0.0,#+matric,0.0,#+matric,8,Cork Institute of Technology,1.0,0,0
Physical sciences,Physical Sciences (Common Entry),282,0.0,0,0.0,282,0.0,476,7,Cork Institute of Technology,0.0,0,0
Physical sciences,Physical Sciences (Common Entry),282,0.0,0,0.0,282,0.0,356,8,Cork Institute of Technology,0.0,0,0
Information and Communication Technologies (ICTs),IT Management,297,0.0,0,0.0,297,0.0,339,8,Cork Institute of Technology,0.0,0,0
Biological and related sciences,Biomedical Science - Offered jointly by CIT and UCC,565,0.0,0,0.0,565,0.0,577,8,Cork Institute of Technology,0.0,0,0
Biological and related sciences,Pharmaceutical Biotechnology,398,0.0,0,0.0,398,0.0,440,8,Cork Institute of Technology,0.0,0,0
Health,Nutrition and Health Science,402,0.0,0,0.0,402,0.0,433,8,Cork Institute of Technology,0.0,0,0
Biological and related sciences,Biological Sciences (Common Entry),420,0.0,0,0.0,420,0.0,451,8,Cork Institute of Technology,0.0,0,0
Physical sciences,Analytical Chemistry with Quality Assurance,251,0.0,0,0.0,251,0.0,366,8,Cork Institute of Technology,0.0,0,0
Physical sciences,Instrument Engineering,261,0.0,0,0.0,261,0.0,388,8,Cork Institute of Technology,0.0,0,0
Environment,Environmental Science and Sustainable Technology,253,0.0,0,0.0,253,0.0,341,8,Cork Institute of Technology,0.0,0,0
"Interdisciplinary programmes and qualifications involving agriculture, forestry and veterinary",Agri-Biosciences,397,0.0,0,0.0,397,0.0,453,8,Cork Institute of Technology,0.0,0,0
Business and administration,Accounting,316,0.0,0,0.0,316,0.0,413,8,Cork Institute of Technology,0.0,0,0
Business and administration,Marketing,285,0.0,0,0.0,285,0.0,346,8,Cork Institute of Technology,0.0,0,0
Business and administration,International Business with Language,298,0.0,0,0.0,298,0.0,412,8,Cork Institute of Technology,0.0,0,0
Personal services,Sport and Exercise Management,322,0.0,0,0.0,322,0.0,407,8,Cork Institute of Technology,0.0,0,0
Education,Montessori Education,288,0.0,0,0.0,288,0.0,362,8,Cork Institute of Technology,0.0,0,0
Engineering and engineering trades,Engineering (Common Entry),411,0.0,0,0.0,411,0.0,465,8,Cork Institute of Technology,0.0,0,0
Environment,Sustainable Energy Engineering,320,0.0,0,0.0,320,0.0,389,8,Cork Institute of Technology,0.0,0,0
Health,Biomedical Engineering,444,0.0,0,0.0,444,0.0,488,8,Cork Institute of Technology,0.0,0,0
Architecture and construction,Architectural Technology,308,0.0,0,0.0,308,0.0,377,8,Cork Institute of Technology,0.0,0,0
Architecture and construction,Interior Architecture,359,0.0,0,0.0,359,0.0,423,8,Cork Institute of Technology,0.0,0,0
