COURSE TITLE,R1 2019,R2 2019,Course Level,2019 Interview,2019 R1 Random
"Design,Technology and Innovation",297.0,318.0,8,0,0
Creative Digital Media,260.0,318.0,8,0,0
Advertising and Marketing Communications,235.0,299.0,8,0,0
Early Childhood Care and Education,217.0,307.0,8,0,0
Social Care Practice,261.0,297.0,8,0,0
International Hospitality and Tourism Management,208.0,269.0,8,0,0
Botanical Cuisine,236.0,273.0,8,0,0
Digital Marketing Technologies,220.0,313.0,8,0,0
Accounting and Finance,202.0,328.0,8,0,0
Management,218.0,297.0,8,0,0
Marketing Management,207.0,284.0,8,0,0
International Business,229.0,300.0,8,0,0
Electronic Engineering,251.0,321.0,8,0,0
Mechanical Engineering,243.0,302.0,8,0,0
Sustainable Energy Engineering,236.0,305.0,8,0,0
Biomedical Design,218.0,324.0,8,0,0
Automation Engineering,235.0,288.0,8,0,0
Engineering Software,243.0,304.0,8,0,0
Pharmaceutical Science,261.0,298.0,8,0,0
Computing,200.0,294.0,8,0,0
Computing with IT Management,243.0,309.0,8,0,0
DNA and Forensic Analysis,300.0,362.0,8,0,0
Sports Science and Health,341.0,381.0,8,0,0
Computing with Language (French/German/Spanish),218.0,317.0,8,0,0
Computing with Data Analytics,218.0,296.0,8,0,0
First Year Art & Design (Common Entry),,550.0,8,1,0
Graphic Design and Moving Image Design,,635.0,8,1,0
Textile & Surface Design and Jewellery & Objects,,545.0,8,1,0
Education & Design or Fine Art (Second Level Teaching),,580.0,8,1,0
Fine Art,,600.0,8,1,0
Fashion Design,,600.0,8,1,0
Product Design,,600.0,8,1,0
Visual Culture,300.0,338.0,8,0,0
Illustration,,625.0,8,1,0
Interaction Design,,657.0,8,1,0
Computing (Degree Award options),261.0,316.0,8,0,0
Human Resource Management,297.0,320.0,8,0,0
Business,297.0,339.0,8,0,0
Psychology,366.0,399.0,8,0,0
Marketing Practice,270.0,307.0,8,0,0
Accounting and Finance,338.0,376.0,8,0,0
Technology Management (with specialisations),260.0,303.0,8,0,0
Data Science,297.0,371.0,8,0,0
Medicine - Undergraduate Entry (HPAT required),729.0,733.0,8,1,0
Physiotherapy,532.0,542.0,8,0,1
Pharmacy,555.0,566.0,8,0,0
Medicine - Graduate Entry (GAMSAT required),60.0,62.0,8,1,0
Music,414.0,473.0,8,1,0
History,486.0,518.0,8,0,0
Law,532.0,552.0,8,0,0
