CATEGORY,COURSE TITLE,COURSE CODE,R1 2020,2020 R1 Random,R2 2020,2020 R2 Random,EOS,EOS Random *,EOS Mid-point,Course Level,HEI,2020 Interview,avp,v
Architecture and construction,Structural Engineering,394.0,0.0,,0.0,394,,423,8,Cork Institute of Technology,0.0,,,CR
Transport services,Automotive Business Management and Technology,311.0,0.0,,0.0,311,,362,8,Cork Institute of Technology,0.0,,,CR
Arts,Creative Digital Media,361.0,0.0,,0.0,361,,430,8,Cork Institute of Technology,0.0,,,CR
Information and Communication Technologies (ICTs),Computer Systems,332.0,0.0,,0.0,332,,393,8,Cork Institute of Technology,0.0,,,CR
Arts,Music at CIT Cork School of Music,868.0,0.0,,0.0,912,,1078,8,Cork Institute of Technology,1.0,,,CR
Arts,Popular Music: Electric Bass Guitar at CIT Cork School of Music,1088.0,0.0,,0.0,1088,,1088,8,Cork Institute of Technology,1.0,,,CR
Arts,Popular Music: Drums at CIT Cork School of Music,801.0,0.0,,0.0,801,,940,8,Cork Institute of Technology,1.0,,,CR
Arts,Popular Music: Electric Guitar at CIT Cork School of Music,838.0,0.0,768.0,0.0,768,,978,8,Cork Institute of Technology,1.0,,,CR
Arts,Popular Music: Keyboards at CIT Cork School of Music,840.0,0.0,,0.0,840,,881,8,Cork Institute of Technology,1.0,,,CR
Arts,Popular Music: Voice at CIT Cork School of Music,841.0,0.0,,0.0,841,,966,8,Cork Institute of Technology,1.0,,,CR
Arts,Musical Theatre at CIT Cork School of Music,548.0,0.0,518.0,0.0,505,,600,8,Cork Institute of Technology,1.0,,,CR
Business and administration,Business Information Systems,335.0,0.0,,0.0,335,,391,8,Cork Institute of Technology,0.0,,,CR
Arts,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",,0.0,,0.0,#+matric,,#+matric,8,Cork Institute of Technology,1.0,,,CR
Arts,Fine Art at CIT Crawford College of Art and Design,,0.0,,0.0,#+matric,,#+matric,8,Cork Institute of Technology,1.0,,,CR
Arts,Photography with New Media,,0.0,,0.0,#+matric,,#+matric,8,Cork Institute of Technology,1.0,,,CR
